"module name","license","repository"
"@apidevtools/json-schema-ref-parser@9.1.2","MIT","https://github.com/APIDevTools/json-schema-ref-parser"
"@apidevtools/openapi-schemas@2.1.0","MIT","https://github.com/APIDevTools/openapi-schemas"
"@apidevtools/swagger-methods@3.0.2","MIT","https://github.com/APIDevTools/swagger-methods"
"@apidevtools/swagger-parser@10.0.3","MIT","https://github.com/APIDevTools/swagger-parser"
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.28.5","MIT","https://github.com/babel/babel"
"@babel/core@7.28.5","MIT","https://github.com/babel/babel"
"@babel/generator@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.27.2","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.28.3","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.28.4","MIT","https://github.com/babel/babel"
"@babel/parser@7.28.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-class-static-block@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-jsx@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
